room_reservation_id,reservation_ref_no,room_no,reserved_date,booking_status,room_type,negotiated_price,no_of_occupant,no_of_adults,no_of_children,no_of_children_above_six,no_of_extra_beds,negotiated_extra_bed_rate,ep,ep_count,ep_rate,cp,cp_count,cp_rate,map_lunch,map_lunch_count,map_lunch_rate,ap,ap_count,ap_rate,total_room_amount,room_rate,total_without_tax,breakfast_count,lunch_count,dinner_count,breakfast_price,lunch_price,dinner_price,other_meal,other_meal_count,other_meal_rate,bst,service_charge,reservation_status,entered_by,map_dinner,map_dinner_count,map_dinner_rate,schedule_type,cnb_count_six_to_ten,cnb_count_below_six,foc
10938,RES_11052026_01674,305,2026-06-11,open,Deluxe Double,1662.34,3,2,1,1,1,735.93,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,5139.99,1662.34,4450.21,3,0,3,268.40,415.58,415.58,f,0,0.00,1.00,1.00,reserved,Sherab Dorji,t,3,2051.94,multiple,0,0,f
11407,RES_26032026_01353,206,2026-05-31,open,Deluxe Double,1662.34,3,3,0,0,1,692.64,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,4940.00,1662.34,4277.06,0,0,0,277.06,420.00,363.64,f,0,0.00,1.00,1.00,reserved,,t,3,1922.08,single,0,0,f
11408,RES_30052026_01823,5051,2026-06-01,open,Family Apartment(King),1662.34,3,2,1,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3200.00,1662.34,2770.56,2,0,2,207.79,346.32,346.32,f,0,0.00,1.00,1.00,reserved,,t,2,1108.22,single,0,1,f
11409,RES_30052026_01823,5052,2026-06-01,open,Family Apartment(Twin),1662.34,2,2,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3200.00,1662.34,2770.56,2,0,2,207.79,346.32,346.32,f,0,0.00,1.00,1.00,reserved,,t,2,1108.22,single,0,0,f
10979,RES_14052026_01693,305,2026-05-31,open,Deluxe Double,1662.34,3,3,0,0,1,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,5295.01,1662.34,4584.42,3,0,3,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,,t,3,1987.02,single,0,0,f
10980,RES_14052026_01693,306,2026-05-31,open,Deluxe Double,1662.34,2,2,0,0,0,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3450.01,1662.34,2987.02,2,0,2,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,,t,2,1324.68,single,0,0,f
11410,RES_30052026_01824,203,2026-05-30,open,Standard Double,2057.00,2,2,0,0,0,900.00,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,2375.84,1662.34,2057.00,0,0,0,0.00,0.00,0.00,f,0,0.00,1.00,1.00,reserved,,f,0,0.00,single,0,0,f
10985,RES_14052026_01694,304,2026-06-12,open,Executive,1662.34,2,2,0,0,0,779.22,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3500.00,1662.34,3030.30,2,0,2,303.03,380.95,380.95,f,0,0.00,1.00,1.00,reserved,,t,2,1367.96,single,0,0,f
10983,RES_14052026_01694,301,2026-06-12,open,Standard Single,1662.34,3,2,1,0,1,779.22,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,4953.00,1662.34,4288.31,3,0,3,303.03,380.95,380.95,f,0,0.00,1.00,1.00,reserved,,t,3,1846.75,single,1,0,f
10981,RES_14052026_01694,305,2026-06-12,open,Deluxe Double,1662.34,3,2,1,1,1,779.22,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,5189.99,1662.34,4493.50,3,0,3,303.03,380.95,380.95,f,0,0.00,1.00,1.00,reserved,,t,3,2051.94,single,0,0,f
